entry,values
1,86.0
2,79.0
3,81.0
4,81.0
5,90.0
6,85.0
7,77.0
8,64.0
9,81.0
10,80.0
11,79.0
12,80.0
13,79.0
14,79.0
15,63.0
16,87.0
17,82.0
18,83.0
19,83.0
20,81.0
21,70.0
22,70.0
23,74.0
24,75.0
25,75.0
26,75.0
27,81.0
28,81.0
29,78.0
30,80.0
31,96.0
32,87.0
33,94.0
34,74.0
35,86.0
36,85.0
37,87.0
38,86.0
39,86.0
40,86.0
41,86.0
42,86.0
43,87.0
44,86.0
45,86.0
46,87.0
47,76.0
48,87.0
49,87.0
50,87.0
51,88.0
52,87.0
53,83.0
54,88.0
55,87.0
56,88.0
57,88.0
58,88.0
59,88.0
60,88.0
61,87.0
62,87.0
63,88.0
64,88.0
65,89.0
66,88.0
67,78.0
68,89.0
69,89.0
70,88.0
71,88.0
72,88.0
73,88.0
74,87.0
75,88.0
76,88.0
77,89.0
78,88.0
79,88.0
80,86.0
81,88.0
82,87.0
83,88.0
84,91.0
85,87.0
86,87.0
87,88.0
88,89.0
89,90.0
90,88.0
91,88.0
92,87.0
93,89.0
94,88.0
95,89.0
96,89.0
97,91.0
98,89.0
99,88.0
100,88.0
101,88.0
102,90.0
103,88.0
104,87.0
105,82.0
106,86.0
107,84.0
108,69.0
109,84.0
110,68.0
111,81.0
112,70.0
113,71.0
114,80.0
115,88.0
116,80.0
117,80.0
118,82.0
119,79.0
120,87.0
121,56.0
122,67.0
123,46.0
124,96.0
125,107.0
126,102.0
127,103.0
128,102.0
129,99.0
130,101.0
131,101.0
132,94.0
133,102.0
134,102.0
135,102.0
136,101.0
137,102.0
138,103.0
139,97.0
140,103.0
141,103.0
142,104.0
143,104.0
144,103.0
145,121.0
146,110.0
147,125.0
148,116.0
149,112.0
150,124.0
151,109.0
152,113.0
153,107.0
154,100.0
155,110.0
156,119.0
157,85.0
158,88.0
159,98.0
160,105.0
161,96.0
162,84.0
163,93.0
164,86.0
165,88.0
166,63.0
167,69.0
168,82.0
169,69.0
170,69.0
171,69.0
172,72.0
173,63.0
174,62.0
175,57.0
176,56.0
177,61.0
178,60.0
179,67.0
180,76.0
181,72.0
182,52.0
183,47.0
184,45.0
185,52.0
186,49.0
187,64.0
188,62.0
189,62.0
190,62.0
191,68.0
192,69.0
193,54.0
194,70.0
195,42.0
196,58.0
197,55.0
198,55.0
199,66.0
200,60.0
201,68.0
202,64.0
203,60.0
204,69.0
205,63.0
206,63.0
207,66.0
208,69.0
209,65.0
210,56.0
211,48.0
212,67.0
213,68.0
214,69.0
215,69.0
216,67.0
217,69.0
218,64.0
219,69.0
220,69.0
221,70.0
222,67.0
223,68.0
224,70.0
225,71.0
226,71.0
227,69.0
228,64.0
229,70.0
230,70.0
231,68.0
232,68.0
233,69.0
234,67.0
235,63.0
236,68.0
237,65.0
